idpackets_db,STX,length,"Sequence Number",Direct,CMD,"Sensor ID","Sensor Number",Data,Checksum,ETX,Time
1,33,0070,af,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a33345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,ac,55,"12/02/2022, 00:23:35.387428"
2,33,0070,b0,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a33395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b2,55,"12/02/2022, 00:23:40.502810"
3,33,006f,b1,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32333a34345d2052656376204b4120504952205b325d204261745b3230305d2053656e73696e6720506572696f645b31343430305d205265706f727420506572696f645b31343430305d20525353495b2d33315d,bd,55,"12/02/2022, 00:23:45.235745"
4,33,0073,b2,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a34355d20526563762050495220446174612049445b307834345d204e756d5b3078325d20436e745b335d204d61736b5b3078203236305d204261745b3130305d20436f6d5b305d20525353495b2d33315d,58,55,"12/02/2022, 00:23:45.430515"
5,33,0070,b3,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a34355d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b2,55,"12/02/2022, 00:23:45.819193"
6,33,0016,b4,91,36,44,02,130005e6070b1e00172d6400e13d,cb,55,"12/02/2022, 00:23:46.342597"
7,33,0052,b5,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32333a34365d2053656e736f722044617461205265706f72742049445b307834345d204e756d5b3078325d204757204261745b3130305d,74,55,"12/02/2022, 00:23:46.535076"
8,33,0036,b6,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32333a34385d20203d3d3d3e2041444320417665725b323534375d,4b,55,"12/02/2022, 00:23:48.355974"
9,33,0070,b7,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a34395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,ba,55,"12/02/2022, 00:23:50.366547"
10,33,0070,b8,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a35345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b7,55,"12/02/2022, 00:23:55.392976"
11,33,0070,b9,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32333a35395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,bd,55,"12/02/2022, 00:24:00.317069"
12,33,0070,ba,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32343a30345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b5,55,"12/02/2022, 00:24:05.347200"
13,33,0070,bb,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32343a30395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,bb,55,"12/02/2022, 00:24:10.372767"
14,33,002e,bc,91,36,23,01,ffff0c000000000000000000000000000000000000000000000000e6070b1e0018096400f6ff,6f,55,"12/02/2022, 00:24:10.566548"
15,33,0052,bd,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32343a31305d2053656e736f722044617461205265706f72742049445b307832335d204e756d5b3078315d204757204261745b3130305d,70,55,"12/02/2022, 00:24:10.758526"
16,33,002e,be,91,36,24,01,ffff0c000000000000000000000000000000000000000000000000e6070b1e0018096400f6ff,72,55,"12/02/2022, 00:24:10.952152"
17,33,0052,bf,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32343a31305d2053656e736f722044617461205265706f72742049445b307832345d204e756d5b3078315d204757204261745b3130305d,73,55,"12/02/2022, 00:24:11.145338"
18,33,001d,c0,91,36,25,01,ffff0c00000000000000e6070b1e0018096400f6ff,64,55,"12/02/2022, 00:24:15.118911"
19,33,0052,c1,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32343a31305d2053656e736f722044617461205265706f72742049445b307832355d204e756d5b3078315d204757204261745b3130305d,76,55,"12/02/2022, 00:24:15.312702"
20,33,0070,c2,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32343a31345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,be,55,"12/02/2022, 00:24:15.506044"
21,33,0070,df,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32353a34345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,df,55,"12/02/2022, 00:25:45.361737"
22,33,006f,e0,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32353a34355d2052656376204b4120504952205b325d204261745b3230305d2053656e73696e6720506572696f645b31343430305d205265706f727420506572696f645b31343430305d20525353495b2d34315d,f0,55,"12/02/2022, 00:25:45.550732"
23,33,0077,e1,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32353a34355d20526563762050495220446174612049445b307834345d204e756d5b3078325d20436e745b395d204d61736b5b307831303030344539335d204261745b3130305d20436f6d5b305d20525353495b2d34315d,82,55,"12/02/2022, 00:25:45.931433"
24,33,0036,e2,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32353a34385d20203d3d3d3e2041444320417665725b323535305d,73,55,"12/02/2022, 00:25:48.197737"
25,33,0070,e3,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32353a34395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,e8,55,"12/02/2022, 00:25:50.300713"
26,33,0070,e4,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32353a35345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,e5,55,"12/02/2022, 00:25:55.338587"
27,33,0070,e5,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32353a35395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,eb,55,"12/02/2022, 00:26:00.375495"
28,33,0070,e6,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32363a30345d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,e3,55,"12/02/2022, 00:26:05.308745"
29,33,0070,e7,91,80,ff,ff,5b4556454e545d5b323032322e31312e33305d5b30303a32363a30395d20526563762042696f20446174612050445b305d204143545b305d2042525b305d2048525b305d20585b305d20595b305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,e9,55,"12/02/2022, 00:26:10.342845"
30,33,002e,e8,91,36,23,01,ffff0c000000000000000000000000000000000000000000000000e6070b1e001a096400f6ff,9d,55,"12/02/2022, 00:26:10.531766"
31,33,0052,e9,91,80,ff,ff,5b475d5b323032322e31312e33305d5b30303a32363a31305d2053656e736f722044617461205265706f72742049445b307832335d204e756d5b3078315d204757204261745b3130305d,9e,55,"12/02/2022, 00:26:10.721120"
32,33,002e,ea,91,36,24,01,ffff0c000000000000000000000000000000000000000000000000e6070b1e001a096400f6ff,a0,55,"12/02/2022, 00:26:10.912124"
